time,linear,angular
2024/06/27 13:23:43.608321723,"{'x': 1.5201904549741596, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.47792851205565956}"
2024/06/27 13:23:43.660876520,"{'x': 1.5165221740016714, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.22989192211413645}"
2024/06/27 13:23:43.714625281,"{'x': 1.518113266591148, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.24299649413277802}"
2024/06/27 13:23:43.778881363,"{'x': 1.5101520956598002, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.3616521792188383}"
2024/06/27 13:23:43.856935041,"{'x': 1.5064702980699856, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.4031113078846307}"
2024/06/27 13:23:43.937035724,"{'x': 1.5202606141737849, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.5016229526412657}"
2024/06/27 13:23:44.11079321,"{'x': 1.492106970940654, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.5433410566276384}"
2024/06/27 13:23:44.88356094,"{'x': 1.4745556909583337, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.6475630544007931}"
2024/06/27 13:23:44.144290060,"{'x': 1.4728001961399322, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.6857470356472168}"
2024/06/27 13:23:44.193413004,"{'x': 1.459318258817207, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.7656377771574636}"
2024/06/27 13:23:44.247557516,"{'x': 1.460187127868626, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.7947240472373149}"
2024/06/27 13:23:44.301562789,"{'x': 1.427587671771061, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.8322295444876691}"
2024/06/27 13:23:44.354253935,"{'x': 1.426570958423406, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.8524299988382174}"
