time,header,pose
2024/06/27 13:19:36.570376605,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850888353086098, 'y': -21.799987822505, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015357219497159099, 'w': 0.9998820709510278}}"
2024/06/27 13:19:36.622369375,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850888425841849, 'y': -21.799987893373313, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015358186581702358, 'w': 0.9998820560970787}}"
2024/06/27 13:19:36.675859540,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.8508885606103815, 'y': -21.799987874286575, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01536003190973823, 'w': 0.9998820277511402}}"
2024/06/27 13:19:36.737191534,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850888576854086, 'y': -21.799987860613406, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015361026283181372, 'w': 0.9998820124752357}}"
2024/06/27 13:19:36.790286279,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850888683615375, 'y': -21.799987868744804, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015362934501356671, 'w': 0.999881983157766}}"
2024/06/27 13:19:36.843569947,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850888778194445, 'y': -21.799987884289415, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015363851486389437, 'w': 0.9998819690681017}}"
2024/06/27 13:19:36.896381269,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850888858734382, 'y': -21.799987918868386, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015365775804802709, 'w': 0.9998819394978172}}"
2024/06/27 13:19:36.959320702,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850888900995283, 'y': -21.799987844376346, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015366735838097957, 'w': 0.999881924743958}}"
2024/06/27 13:19:37.11409338,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850888993972635, 'y': -21.79998778896578, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015368651952329289, 'w': 0.9998818952942233}}"
2024/06/27 13:19:37.64109103,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850889046510948, 'y': -21.799987857169192, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015369601068634015, 'w': 0.9998818807054116}}"
2024/06/27 13:19:37.116529203,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850889181025983, 'y': -21.79998785451982, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015371479159373109, 'w': 0.999881851834732}}"
2024/06/27 13:19:37.169021504,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850889225747907, 'y': -21.79998785289242, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015372441696613774, 'w': 0.9998818370368991}}"
2024/06/27 13:19:37.220938353,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.8508892777270205, 'y': -21.799987861722975, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01537339787369776, 'w': 0.9998818223359284}}"
2024/06/27 13:19:37.273766258,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850889354570601, 'y': -21.799987840709363, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015375322392438131, 'w': 0.9998817927441866}}"
2024/06/27 13:19:37.326443091,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850889449129561, 'y': -21.799987819304413, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01537622909675126, 'w': 0.9998817788012562}}"
2024/06/27 13:19:37.391566073,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850889516966027, 'y': -21.799987811372798, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015378187996803402, 'w': 0.9998817486752796}}"
2024/06/27 13:19:37.454029631,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850889649719984, 'y': -21.799987853301907, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015380064992464316, 'w': 0.9998817198053116}}"
2024/06/27 13:19:37.505978981,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850889715866344, 'y': -21.799987872413812, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015381009262320642, 'w': 0.9998817052802158}}"
2024/06/27 13:19:37.557972132,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850889754699376, 'y': -21.799987844889653, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015381958487180552, 'w': 0.9998816906780015}}"
2024/06/27 13:19:37.610217504,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850889863272835, 'y': -21.799987833806746, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015383865981700816, 'w': 0.9998816613317083}}"
2024/06/27 13:19:37.662528300,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850889865935662, 'y': -21.79998785676361, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015384862770314447, 'w': 0.999881645994934}}"
2024/06/27 13:19:37.714984367,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850890039496585, 'y': -21.799987823397842, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015386708183931883, 'w': 0.9998816175984347}}"
2024/06/27 13:19:37.767795920,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850890078843887, 'y': -21.799987798484715, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01538766741810246, 'w': 0.9998816028367709}}"
